value,timestamp
1552,189.538965952
1520,
1504,
1536,
1552,
1520,
1552,
1536,
1568,
1584,
1584,
1552,
1600,
1536,
1600,
1584,
1520,
1568,
1600,
1616,
1584,
1600,
1600,
1584,
1584,
1552,
1584,
1536,
1568,
1552,
1568,189.569180609
1488,
1472,
1552,
1552,
1488,
1520,
1536,
1552,
1408,
1456,
1472,
1520,
1456,
1552,
1504,
1392,
1536,
1504,
1504,
1408,
1520,
1536,
1552,
1520,
1552,
1504,
1552,
1472,
1488,
1552,189.628914822
1520,
1504,
1520,
1520,
1504,
1520,
1520,
1520,
1504,
1520,
1552,
1488,
1504,
1440,
1536,
1504,
1520,
1568,
1568,
1424,
1552,
1552,
1568,
1472,
1552,
1584,
1584,
1552,
1552,
1520,189.659643577
1568,
1584,
1568,
1520,
1552,
1520,
1552,
1536,
1456,
1552,
1552,
1520,
1536,
1552,
1568,
1488,
1552,
1520,
1552,
1504,
1536,
1520,
1552,
1552,
1472,
1568,
1552,
1520,
1568,
1552,
1552,
1568,
1536,
1552,
1520,
1552,
1536,
1568,
1552,
1568,
1552,
1552,
1536,
1520,
1568,
1552,
1552,
1552,
1584,
1520,
1568,
1504,
1568,
1472,
1552,
1552,
1568,
1488,
1584,
1568,189.689403223
1552,
1536,
1552,
1568,
1520,
1568,
1568,
1520,
1568,
1552,
1536,
1536,
1536,
1520,
1568,
1520,
1552,
1568,
1536,
1536,
1552,
1536,
1520,
1488,
1552,
1472,
1488,
1440,
1504,
1520,
1520,189.719621366
1488,
1520,
1472,
1552,
1520,
1536,
1520,
1520,
1504,
1456,
1520,
1456,
1536,
1504,
1488,
1472,
1520,
1504,
1504,
1504,
1472,
1504,
1504,
1488,
1456,
1472,
1488,
1440,
1504,189.749403123
1472,
1488,
1472,
1504,
1504,
1440,
1488,
1488,
1440,
1440,
1440,
1392,
1440,
1472,
1488,
1424,
1376,
1456,
1504,
1472,
1424,
1520,
1488,
1456,
1472,
1504,
1488,
1456,
1584,
1488,189.779202198
1504,
1488,
1488,
1488,
1504,
1520,
1504,
1552,
1504,
1520,
1504,
1536,
1520,
1552,
1520,
1472,
1488,
1536,
1520,
1536,
1472,
1504,
1488,
1536,
1424,
1552,
1520,
1520,
1520,
1552,189.808971764
1552,
1552,
1520,
1520,
1552,
1472,
1552,
1552,
1568,
1520,
1520,
1552,
1552,
1536,
1504,
1552,
1520,
1568,
1520,
1520,
1488,
1584,
1552,
1568,
1536,
1568,
1568,
1520,
1504,
1504,189.838793331
1520,
1552,
1552,
1536,
1568,
1520,
1536,
1488,
1568,
1568,
1520,
1552,
1552,
1584,
1520,
1536,
1504,
1504,
1536,
1552,
1552,
1568,
1472,
1520,
1520,
1568,
1536,
1552,
1552,
1552,189.883771909
1552,
1552,
1584,
1552,
1552,
1536,
1568,
1584,
1600,
1504,
1568,
1520,
1584,
1552,
1552,
1536,
1584,
1584,
1472,
1568,
1552,
1568,
1552,
1552,
1568,
1552,
1536,
1552,
1568,
1552,189.914768019
1584,
1568,
1568,
1568,
1552,
1520,
1504,
1568,
1552,
1520,
1536,
1568,
1504,
1488,
1552,
1504,
1520,
1520,
1520,
1536,
1488,
1504,
1536,
1520,
1472,
1504,
1504,
1520,
1440,
1472,
1456,
1520,
1504,
1520,
1536,
1520,
1472,
1520,
1504,
1456,
1472,
1520,
1488,
1504,
1504,189.94444631
1472,
1504,
1488,
1504,
1488,
1488,
1472,
1424,
1504,
1456,
1504,
1520,
1520,
1440,
1488,
1504,
1520,
1488,
1504,
1520,
1520,
1520,
1520,
1488,
1520,
1472,
