value,timestamp
1296,
1216,
1200,
1296,
1168,
1168,
1168,
1264,
1200,
1200,
1264,
1184,
1280,
1136,
1152,
1184,
1152,
1264,
1232,
1216,
1136,
1136,
1184,
1136,
1152,
1216,
1184,362.854992659
1312,
1280,
1136,
1184,
1216,
1264,
1200,
1216,
1216,
1120,
1280,
1200,
1232,
1168,
1216,
1200,
1280,
1264,
1248,
1280,
1248,
1232,
1168,
1296,
1248,
1264,
1200,
1152,
1184,362.884757819
1216,
1168,
1280,
1232,
1200,
1280,
1232,
1328,
1280,
1248,
1312,
1280,
1280,
1280,
1232,
1232,
1248,
1232,
1328,
1264,
1360,
1280,
1248,
1280,
1360,
1328,
1296,
1296,
1344,
1264,362.915131149
1264,
1280,
1296,
1280,
1296,
1280,
1296,
1280,
1344,
1264,
1280,
1296,
1280,
1232,
1248,
1264,
1280,
1264,
1280,
1248,
1264,
1232,
1296,
1280,
1376,
1344,
1280,
1312,
1248,
1296,
1232,362.960051662
1296,
1312,
1296,
1312,
1232,
1248,
1264,
1280,
1248,
1232,
1280,
1280,
1328,
1232,
1264,
1280,
1232,
1232,
1248,
1200,
1232,
1200,
1296,
1232,
1312,
1264,
1248,
1296,
1296,
1264,362.989906986
1264,
1200,
1264,
1296,
1168,
1232,
1152,
1200,
1184,
1168,
1200,
1232,
1200,
1328,
1168,
1296,
1296,
1200,
1248,
1200,
1184,
1216,
1232,
1168,
1168,
1168,
1232,
1184,
1216,
1184,
1280,
1200,
1296,
1200,
1184,
1296,
1168,
1280,
1232,
1216,
1184,
1264,
1200,
1184,
1168,363.019953106
1248,
1184,
1264,
1232,
1296,
1312,
1216,
1248,
1232,
1184,
1216,
1216,
1248,
1216,
1184,
1232,
1232,
1200,
1264,
1296,
1328,
1296,
1280,
1200,
1312,
1296,
1280,
1216,
1200,
1200,363.050148236
1232,
1232,
1232,
1248,
1264,
1344,
1328,
1184,
1248,
1344,
1232,
1232,
1264,
1184,
1248,
1216,
1184,
1216,
1216,
1296,
1264,
1184,
1264,
1360,
1344,
1216,
1232,
1232,
1200,
1216,363.09458041
1248,
1216,
1232,
1248,
1200,
1200,
1328,
1216,
1328,
1312,
1264,
1232,
1232,
1248,
1184,
1264,
1280,
1200,
1168,
1152,
1184,
1200,
1200,
1312,
1200,
1232,
1200,
1200,
1248,363.125132107
1200,
1200,
1200,
1248,
1168,
1184,
1168,
1200,
1200,
1152,
1184,
1168,
1168,
1328,
1200,
1184,
1232,
1168,
1216,
1152,
1184,
1168,
1104,
1168,
1168,
1120,
1120,
1152,
1120,
1296,
1296,
1136,
1136,
1232,
1312,
1136,
1136,
1232,
1136,
1072,
1120,
1120,
1120,
1216,
1120,
1088,363.154972093
1216,
1296,
1152,
1072,
1056,
1104,
1120,
1200,
1072,
1152,
1136,
1072,
1136,
1104,
1088,
1104,
1296,
1232,
1296,
1280,
1120,
1296,
1072,
1152,
1104,
1136,
1152,
1120,
1136,
1152,363.185181917
1184,
1248,
1152,
1296,
1168,
1312,
1328,
1184,
1184,
1200,
1280,
1248,
1184,
1200,
1200,
1200,
1184,
1216,
1216,
1200,
1328,
1328,
1248,
1280,
1328,
1264,
1248,
1248,
1264,
1232,363.215077773
1232,
1248,
1200,
1312,
1280,
1232,
1248,
1264,
1360,
1344,
1328,
1216,
1264,
1296,
1248,
1280,
1232,
1248,
1264,
1264,
1232,
1248,
1248,
1248,
1328,
1344,
1296,
1248,
1280,
1280,363.244490907
1296,
1264,
1248,
1248,
1264,
1232,
1248,
1312,
1280,
1264,
1344,
1360,
1280,
1360,
1360,
1280,
1280,
1296,
1296,
1248,
1248,
1280,
1232,
1312,
1280,
1280,
1360,
1344,
1328,
1328,363.275191345
1264,
1280,
1328,
1344,
1280,
1312,
1280,
1248,
1296,
1296,
1216,
1376,
1296,
1280,
1296,
1312,
1296,
1360,
1280,
1280,
1232,
1296,
1264,
1296,
1248,
1232,
1248,
1280,
1312,
1264,363.305259568
1360,
1280,
1360,
1344,
1376,
1248,
1232,
1296,
1296,
1296,
1248,
1232,
1216,
1248,
1296,
1280,
1280,
1264,
1328,
1296,
1280,
1280,
1328,
1248,
1296,
1280,
1296,
1296,
1232,
1248,363.334799971
1200,
1280,
1248,
1264,
1264,
1280,
1344,
1248,
1296,
1216,
1328,
1232,
1296,
1264,
1216,
1200,
1248,
1264,
1296,
1264,
1280,
1360,
1296,
1280,
1200,
1232,
1248,
1296,
1280,
1280,363.364486198
1216,
1216,
1168,
1184,
1296,
1264,
1216,
1344,
1264,
1264,
1344,
1344,
1280,
1264,
1264,
1232,
1216,
1232,
1248,
1232,
1280,
1280,
1280,
1248,
1328,
1328,
1280,
1184,
1296,
1248,363.394940405
1248,
1184,
1248,
1200,
1200,
1232,
1216,
1248,
1248,
1280,
1328,
1264,
1280,
1248,
1248,
1216,
1248,
1280,
1216,
1200,
1248,
1232,
1184,
1248,
1264,
1248,
1232,
1264,
1248,
1264,363.440412998
1328,
1168,
1280,
1280,
1200,
1264,
1264,
1200,
1216,
1248,
1168,
1232,
1232,
1280,
1344,
1248,
1328,
1248,
1344,
1200,
1232,
1232,
1248,
1216,
1280,
1248,
1216,
1280,
1232,
1232,
1360,
1344,
1328,
1360,
1232,
1280,
1264,
1264,
1328,
1264,
1248,
1264,
1264,
1264,
1312,363.470227322
1296,
1376,
1264,
1376,
1344,
1296,
1264,
1312,
1264,
1264,
1312,
1280,
1264,
1232,
1248,
1280,
1264,
1280,
1280,
1312,
1264,
1360,
1360,
1296,
1280,
1312,
1296,
1296,
1280,
1232,363.499880309
1264,
1248,
1216,
1248,
1280,
1264,
1312,
1328,
1296,
1280,
1248,
1248,
1296,
1280,
1296,
1280,
1248,
1280,
1264,
1248,
1312,
1280,
1328,
1264,
1264,
1312,
1344,
1296,
1280,
1264,363.529495071
1280,
1280,
1264,
1248,
1280,
1280,
1248,
1280,
1280,
1264,
1312,
1280,
1296,
1264,
1264,
1232,
1248,
1264,
1264,
1232,
1296,
1216,
1280,
1328,
1248,
1312,
1344,
1248,
1248,
1232,363.560194589
1264,
1280,
1280,
1264,
1296,
1280,
1216,
1248,
1232,
1312,
1264,
1264,
1280,
1280,
1328,
1280,
1248,
1248,
1264,
1280,
1264,
1280,
1200,
1248,
1232,
1216,
1280,
1248,
1328,
1312,363.590207488
1296,
1328,
1248,
1232,
1264,
1296,
1248,
1216,
1264,
1200,
1232,
1200,
1216,
1232,
1264,
1264,
1264,
1296,
1312,
1264,
1296,
1264,
1264,
1280,
1232,
1184,
1200,
1200,
1168,
1184,363.620061914
1264,
1216,
1296,
1296,
1296,
1200,
1216,
1248,
1280,
1232,
